word1,word2,golden_value,model_value
tiger,cat,7.35,0.000521803757988026
tiger,tiger,10.00,0.9999999999999998
plane,car,5.77,0.05243939994504526
train,car,6.31,0.09520474641736261
television,radio,6.77,0.021013388497565868
bread,butter,6.19,0.0663783625223656
doctor,nurse,7.00,0.18006345086274508
professor,doctor,6.62,0.03159617920869737
student,professor,6.81,0.05450309332718744
smart,stupid,5.81,0.03576907455204874
wood,forest,7.73,0.02095566718718998
money,cash,9.15,0.12418360600264182
king,queen,8.58,0.002707145415237213
fuck,sex,9.44,0.10057487518562612
football,soccer,9.03,0.14124084028189962
football,basketball,6.81,0.1210326191116457
football,tennis,6.63,0.023844313145053437
drink,eat,6.87,0.08709587012795073
car,automobile,8.94,0.022848854209619834
gem,jewel,8.96,0.0
journey,voyage,9.29,0.04448739422185423
coast,shore,9.10,0.06299649119868417
midday,noon,9.29,0.05970361460156063
food,fruit,7.52,0.07611872781072114
bird,cock,7.10,0.0
bird,crane,7.38,0.050222066014552084
money,dollar,8.42,0.08929334151817929
money,currency,9.04,0.09713617453323425
tiger,jaguar,8.00,0.0
tiger,feline,8.00,0.0
tiger,mammal,6.85,0.0
tiger,animal,7.00,0.012080026842921511
tiger,organism,4.77,0.0
tiger,fauna,5.62,0.0
psychology,science,6.71,0.022442747134926024
psychology,discipline,5.58,0.009652907229903447
planet,star,8.45,0.19074805693741312
planet,moon,8.08,0.10000742056163624
planet,sun,8.02,0.060586628046490225
precedent,example,5.85,0.030538987311482753
cup,object,3.69,0.018820964780426393
cup,entity,2.15,0.009140577082708528
jaguar,cat,7.42,0.004829144241482758
jaguar,car,7.27,0.010224073676830934
skin,eye,6.22,0.08512311561421866
japanese,american,6.50,0.10144722001601207
century,year,7.59,0.07175140982843846
announcement,news,7.56,0.057481624640415833
doctor,personnel,5.00,0.08453183900911483
hospital,infrastructure,4.63,0.01960766252498785
life,death,7.88,0.07761204170501762
travel,activity,5.00,0.031212880285359478
type,kind,8.97,0.0634843813461123
street,place,6.44,0.07775091510496221
street,avenue,8.88,0.016619308309893555
street,block,6.88,0.03238518825087777
cell,phone,7.81,0.11891692054360681
dividend,payment,7.63,0.027716577725974585
calculation,computation,8.44,0.0
profit,loss,7.63,0.07210593414709321
dollar,buck,9.22,0.02871204946564682
phone,equipment,7.13,0.05666621483985509
liquid,water,7.89,0.023668201426826782
marathon,sprint,7.47,0.03391054874944848
seafood,food,8.34,0.025678795931664368
man,woman,8.30,0.07690411517064079
man,governor,5.25,0.020201334006857693
